Entry_ID,Age,Home_City_Tier,Willingness_To_Relocate,Preferred_Work_Model,Bilingual_Proficiency,Highest_Education_Level,Institution_Tier,Formal_Academic_Score_Normalized,Self_Taught_Indicator,Active_Certifications_Count,Competitive_Event_Experience,Months_Formal_Experience,Months_Gig_Or_Freelance_Experience,Number_Of_Completed_Projects,Has_Public_Portfolio,Leadership_Role_Experience,Client_Facing_Experience,Communication_Fluency_Score,Logical_Reasoning_Score,Adaptability_To_New_Tech,Crisis_Management_Score,Team_Collaboration_Score,Negotiation_Skill_Level,Basic_Software_Proficiency,Advanced_Software_Proficiency,Generative_AI_Familiarity,Social_Media_Leverage_Score,Available_Hours_Per_Week,Risk_Tolerance_Profile,Physical_Stamina_Requirement,Mapped_Target_Industry,Equivalent_Job_Role,Market_Value_LPA,Employability_Tier
1,24,3,0,0,1,2,3,71.1,1,0,0,36,0,6,1,1,0,3,8,4,9,8,1,5,3,1,8,40,0,0,Sales & People,HR Recruiter,5.65,0
2,37,3,1,0,0,1,3,60.8,1,2,1,48,24,9,0,1,0,7,7,7,8,9,1,4,4,0,2,50,1,0,Sales & People,HR Recruiter,5.59,0
3,32,2,1,1,1,1,2,64.6,0,3,0,0,12,2,1,0,0,8,9,9,3,6,1,5,3,0,9,20,0,0,Sales & People,Retail Supervisor,6.08,1
4,28,3,1,1,1,1,3,75.9,1,2,1,24,0,4,0,0,0,5,9,4,9,6,3,1,4,1,2,50,0,0,Finance & Business,Startup Founder,5.38,0
5,25,3,0,2,1,1,2,80.1,1,2,1,0,6,5,0,0,0,5,5,10,8,5,3,4,2,0,1,50,1,1,Media & Content,Copywriter,3.61,0
6,38,3,1,1,1,0,1,59.1,1,0,0,0,0,0,0,1,0,10,6,5,9,6,1,2,1,1,6,50,0,0,Media & Content,Copywriter,5.85,0
7,24,1,0,2,1,3,2,71.7,1,1,1,12,0,5,0,1,0,9,4,10,8,9,1,5,1,1,5,60,0,1,Media & Content,Social Media Strategist,5.29,0
8,36,3,1,1,1,3,2,79.8,1,0,0,0,6,8,0,0,0,6,5,9,9,9,2,2,1,1,7,40,0,1,Events & PR,Corporate Event Host,3.71,0
9,28,3,1,2,1,2,2,59.4,1,0,0,24,12,2,1,0,1,6,4,8,4,6,3,2,5,0,9,50,0,0,Fitness & Health,Personal Trainer,4.83,0
10,28,3,1,1,1,2,3,73.8,1,2,0,0,0,7,0,0,0,7,3,10,8,5,1,5,3,0,1,60,1,1,GreenTech & Science,Urban Farmer,4.4,0
11,38,2,0,2,1,4,2,64.9,1,0,0,24,0,4,1,0,1,6,9,10,10,9,3,4,2,1,9,30,1,0,Design & Art,Animator,6.29,1
12,21,1,0,2,0,2,3,67.7,1,0,0,12,6,1,0,0,1,5,3,4,5,4,3,1,4,0,7,40,0,1,Education & Humanities,Translator,3.43,0
13,25,2,1,2,1,2,2,76.6,0,1,1,36,12,0,1,0,0,3,7,6,10,4,2,1,3,1,6,40,1,1,Automotive & Travel,Mechanic,6.37,1
14,20,3,0,2,1,3,3,60.0,0,1,1,24,0,9,0,1,0,4,8,4,5,6,1,3,3,1,7,20,1,1,Events & PR,PR Executive,4.73,0
15,39,3,1,2,1,2,2,60.4,0,0,1,24,6,0,0,1,0,6,6,7,8,8,2,5,4,0,5,50,0,0,Finance & Business,Business Consultant,5.82,0
16,38,3,1,2,0,0,1,70.7,0,1,0,36,0,1,1,0,0,8,7,10,2,6,2,1,3,1,2,30,0,1,GreenTech & Science,Research Analyst,7.39,1
17,19,3,1,2,1,2,3,93.4,0,3,1,0,24,5,1,1,0,5,7,8,9,8,1,3,2,0,7,40,0,1,Design & Art,Animator,4.63,0
18,29,3,1,2,0,2,2,65.6,0,0,0,0,0,2,0,1,1,10,10,10,4,9,2,2,4,1,1,20,0,1,Media & Content,Social Media Strategist,4.77,0
19,23,3,0,0,0,2,1,84.9,1,0,0,48,0,0,1,1,0,6,9,9,7,6,2,2,2,1,2,60,1,1,GreenTech & Science,E-Waste Consultant,10.19,1
20,19,3,1,1,1,4,3,75.8,0,0,0,48,24,4,0,0,1,10,8,6,3,5,1,2,5,0,7,50,0,0,GreenTech & Science,Lab Assistant,7.7,1
21,38,3,1,1,1,2,3,90.4,1,3,1,36,12,3,0,0,1,5,6,6,9,7,2,3,2,0,2,30,0,0,Finance & Business,Accountant,6.57,1
22,18,3,0,0,0,0,1,62.3,0,1,1,48,24,9,1,0,0,3,7,9,10,9,1,2,2,1,1,40,0,0,Design & Art,UI/UX Designer,8.5,1
23,29,3,1,1,1,4,1,88.3,1,0,0,24,24,7,1,0,0,7,3,4,7,6,3,3,4,0,8,50,0,0,Education & Humanities,Historian/Archivist,5.52,0
24,39,2,0,0,1,0,1,65.3,1,1,1,24,24,3,0,1,0,9,9,4,9,8,1,2,5,1,1,40,0,1,Finance & Business,Business Consultant,7.41,1
25,29,2,1,0,1,2,1,76.9,1,0,0,24,0,1,1,0,1,10,9,6,8,10,3,2,1,1,9,20,0,1,Tech & AI,Data Analyst,10.08,1
26,34,3,1,1,0,2,3,77.3,1,1,0,36,6,2,1,0,0,7,3,6,2,10,1,4,4,0,1,40,1,0,Tech & AI,Junior Developer,6.45,1
27,27,3,0,1,0,1,2,99.0,1,2,1,0,0,8,1,0,0,9,6,8,5,4,1,2,3,0,3,40,1,0,Sales & People,HR Recruiter,5.8,0
28,33,3,0,2,0,2,3,74.7,0,1,0,36,12,1,1,1,1,5,8,9,8,4,2,4,4,1,2,40,1,1,Automotive & Travel,Tour Guide,6.17,1
29,32,1,0,2,1,0,1,68.7,0,2,0,48,6,0,0,1,0,8,4,9,6,7,2,5,5,0,10,20,0,0,Sales & People,Retail Supervisor,7.23,1
30,32,3,0,2,1,2,2,61.4,0,0,1,24,0,9,1,0,1,9,10,7,6,5,1,5,1,0,2,40,0,0,Design & Art,UI/UX Designer,5.45,0
31,36,3,1,2,0,1,3,61.1,0,0,0,12,0,3,1,0,0,4,7,7,4,7,1,4,5,1,4,40,0,1,Events & PR,Corporate Event Host,4.83,0
32,29,3,1,2,1,2,3,64.9,1,0,1,0,6,1,1,1,1,8,6,10,8,6,2,1,2,0,8,40,0,0,Finance & Business,Accountant,4.33,0
33,37,3,0,1,1,0,3,67.2,0,4,1,24,24,1,0,0,0,4,4,6,4,8,1,3,3,0,3,50,0,0,Media & Content,Copywriter,4.94,0
34,20,3,0,0,0,2,3,67.6,0,1,0,0,0,2,1,0,1,10,9,5,3,10,1,1,2,0,8,40,1,0,Manual & Vocational,Tailor,2.71,0
35,22,3,1,1,0,1,1,72.1,0,0,0,48,0,8,1,0,1,8,6,10,7,6,3,3,3,1,9,20,0,0,Media & Content,Vlogger,9.34,1
36,36,3,1,2,0,1,2,75.3,1,1,1,12,6,0,0,0,1,6,9,4,9,7,1,1,4,0,2,60,0,0,Events & PR,Talent Manager,4.09,0
37,24,2,1,1,1,3,2,65.3,1,2,0,36,0,6,1,1,1,3,8,6,7,7,2,1,1,1,1,20,0,0,Sales & People,Real Estate Agent,6.16,1
38,38,2,1,1,1,4,3,73.7,1,0,0,48,0,8,0,0,0,7,3,7,3,7,1,4,5,0,9,60,1,1,Design & Art,UI/UX Designer,5.49,0
39,26,1,1,0,1,2,3,80.0,1,0,0,0,0,1,1,0,0,9,7,8,2,10,3,3,3,1,5,30,0,1,Tech & AI,Cybersecurity Trainee,5.11,0
40,24,2,0,0,1,0,1,75.9,1,0,0,36,12,6,1,0,1,10,9,9,2,6,1,2,4,1,10,20,1,0,Finance & Business,Financial Analyst,7.51,1
41,35,2,0,1,1,2,3,72.1,1,3,0,36,0,0,0,0,1,8,7,7,6,6,3,1,3,1,1,50,1,1,GreenTech & Science,Urban Farmer,6.74,1
42,21,2,0,2,1,3,2,63.9,1,1,1,48,24,6,0,0,0,9,5,7,3,4,3,2,4,1,3,40,0,1,Automotive & Travel,Travel Blogger,6.04,1
43,31,1,1,2,1,2,2,61.9,0,1,1,12,0,3,0,0,1,3,3,5,7,7,1,2,5,0,6,30,1,0,Media & Content,Copywriter,4.23,0
44,35,2,1,1,1,2,3,77.2,1,3,1,0,24,4,0,0,1,3,6,6,8,10,2,4,4,0,4,30,0,1,Events & PR,Corporate Event Host,3.55,0
